Course,Planned number of Students,Senior Hours,Assistant Hours
I-3899,50,280,240
I-3900,60,260,200
I-3901,50,240,240
I-3902,40,260,420
I-3903,50,280,420
I-3904,40,240,420
I-3905,40,260,360
I-3906,20,260,200
I-3907,60,240,300
I-3908,20,240,420
I-3909,50,280,360
I-3910,20,280,360
I-3911,50,240,300
I-3912,60,280,300
I-3913,50,280,420
I-3914,20,260,420
I-3915,60,260,300
I-3916,40,240,280
I-3917,20,280,280
I-3918,40,260,240
I-3919,60,280,280
I-3920,50,280,420
I-3921,50,260,280
I-3922,60,280,200
I-3923,20,240,280
I-3924,60,280,360
I-3925,50,280,300
I-3926,60,240,280
I-3927,60,260,300
I-3928,60,260,280
I-3929,50,260,280
I-3930,60,260,280
I-3931,20,240,200
I-3932,40,260,300
I-3933,60,260,280
I-3934,50,260,240
I-3935,60,240,240
I-3936,20,240,280
I-3937,60,280,280
I-3938,20,260,360
I-3939,20,240,360
I-3940,40,240,360
I-3941,60,280,200
I-3942,60,240,280
I-3943,20,260,240
I-3944,50,260,420
I-3945,20,280,420
I-3946,60,280,420
I-3947,20,240,280
I-3948,50,280,240
I-3949,40,280,240
I-3950,50,240,200
I-3951,50,280,280
I-3952,50,240,420
I-3953,60,280,280
I-3954,40,260,420
I-3955,50,280,300
I-3956,40,280,280
I-3957,60,280,280
I-3958,40,240,280
I-3959,60,240,420
I-3960,40,240,360
I-3961,50,260,240
I-3962,60,260,200
I-3963,20,240,360
I-3964,40,280,300
I-3965,40,260,300
I-3966,50,260,360
I-3967,50,240,200
I-3968,20,280,360
I-3969,40,260,360
I-3970,50,280,360
I-3971,20,240,200
I-3972,60,280,280
I-3973,40,280,420
I-3974,40,280,280
I-3975,20,240,200
I-3976,40,280,420
I-3977,60,260,300
I-3978,20,280,420
I-3979,40,260,280
I-3980,20,240,280
I-3981,20,280,420
I-3982,60,240,300
I-3983,20,240,200
I-3984,60,240,200
I-3985,40,260,240
I-3986,60,240,360
I-3987,60,260,240
I-3988,40,280,420
I-3989,40,240,300
I-3990,50,260,280
I-3991,20,280,360
I-3992,60,240,360
I-3993,60,260,360
I-3994,20,240,280
I-3995,40,240,360
I-3996,50,240,300
I-3997,40,260,200
I-3998,20,280,420
I-3999,50,240,420
I-4000,40,240,360
I-4001,50,280,240
I-4002,50,280,300
I-4003,60,240,200
I-4004,60,240,420
I-4005,40,280,360
I-4006,20,260,280
I-4007,50,240,420
I-4008,40,260,360
I-4009,40,280,300
I-4010,40,280,280
I-4011,50,260,360
I-4012,20,260,420
I-4013,60,260,360
I-4014,40,260,240
I-4015,40,260,360
I-4016,20,240,240
I-4017,60,260,360
I-4018,50,240,300
I-4019,50,260,420
I-4020,20,260,420
I-4021,20,240,360
I-4022,20,240,360
I-4023,40,280,360
I-4024,40,280,280
I-4025,40,240,300
I-4026,40,260,240
I-4027,50,240,300
I-4028,40,240,420
I-4029,50,260,420
I-4030,50,260,240
I-4031,60,240,240
I-4032,60,280,360
I-4033,40,280,420
I-4034,40,240,280
I-4035,50,280,280
I-4036,50,260,420
I-4037,50,240,280
I-4038,60,240,360
I-4039,50,240,300
I-4040,60,280,360
I-4041,40,240,420
I-4042,50,260,240
I-4043,60,240,200
I-4044,60,280,420
I-4045,20,260,360
I-4046,40,280,360
I-4047,40,240,420
I-4048,50,240,280
I-4049,40,280,200
I-4050,40,260,300
I-4051,60,260,200
I-4052,50,260,360
I-4053,20,280,280
I-4054,60,280,240
I-4055,60,240,240
I-4056,20,240,300
I-4057,60,280,280
I-4058,40,280,420
I-4059,40,280,280
I-4060,40,260,300
I-4061,20,240,360
I-4062,20,280,360
I-4063,20,260,300
I-4064,40,280,300
I-4065,60,240,420
I-4066,20,240,420
I-4067,60,260,360
I-4068,60,240,300
I-4069,20,280,280
I-4070,50,280,360
I-4071,50,260,200
I-4072,50,240,420
I-4073,40,280,200
I-4074,60,280,280
I-4075,60,240,200
I-4076,60,240,360
I-4077,20,260,280
I-4078,40,260,240
I-4079,20,260,200
I-4080,50,280,300
I-4081,60,280,360
I-4082,60,280,420
I-4083,60,280,300
I-4084,20,240,200
I-4085,50,280,360
I-4086,60,240,300
I-4087,60,240,300
I-4088,60,280,360
I-4089,40,260,300
I-4090,60,260,200
I-4091,20,240,300
I-4092,40,240,280
I-4093,50,280,280
I-4094,40,280,200
I-4095,60,260,280
I-4096,50,260,280
I-4097,60,240,420
I-4098,40,240,420
I-4099,20,240,360
I-4100,40,280,300
I-4101,20,280,420
I-4102,20,260,200
I-4103,50,240,240
I-4104,20,260,420
I-4105,50,260,280
I-4106,20,280,240
I-4107,40,280,300
I-4108,60,240,280
I-4109,40,240,360
I-4110,40,240,200
I-4111,40,280,420
I-4112,20,280,360
I-4113,20,260,300
I-4114,50,280,240
I-4115,40,260,300
I-4116,20,280,420
I-4117,20,280,280
I-4118,40,260,200
I-4119,50,280,360
I-4120,40,280,200
I-4121,40,260,300
I-4122,60,260,280
I-4123,20,260,280
I-4124,50,280,200
I-4125,40,280,300
I-4126,60,240,200
I-4127,40,240,200
I-4128,50,260,240
I-4129,60,260,360
I-4130,40,240,300
I-4131,20,280,300
I-4132,20,240,300
I-4133,20,240,240
I-4134,20,260,360
I-4135,50,240,420
I-4136,60,280,420
I-4137,20,240,300
I-4138,50,240,200
I-4139,50,280,420
I-4140,60,280,240
I-4141,60,240,200
I-4142,60,280,200
I-4143,20,240,300
I-4144,20,240,300
I-4145,60,280,420
I-4146,40,260,300
I-4147,50,280,200
I-4148,20,280,200
I-4149,50,240,200
I-4150,40,260,240
I-4151,60,260,300
I-4152,60,260,200
I-4153,50,240,200
I-4154,20,260,420
I-4155,50,260,280
I-4156,20,280,360
I-4157,20,260,280
I-4158,40,240,240
I-4159,50,280,200
I-4160,40,280,280
I-4161,40,260,200
I-4162,50,280,280
I-4163,60,280,360
I-4164,50,240,300
I-4165,60,280,420
I-4166,60,260,240
I-4167,40,260,420
I-4168,40,260,300
I-4169,20,240,420
I-4170,50,260,420
I-4171,50,240,420
I-4172,20,280,280
I-4173,20,240,240
I-4174,50,280,280
I-4175,50,240,300
I-4176,50,280,300
I-4177,50,240,240
I-4178,60,240,360
I-4179,50,280,360
I-4180,40,280,240
I-4181,20,280,300
I-4182,60,260,200
I-4183,50,260,300
I-4184,50,240,300
I-4185,50,240,360
I-4186,50,280,240
I-4187,60,240,200
I-4188,20,240,300
I-4189,20,240,420
I-4190,50,280,240
I-4191,20,260,240
I-4192,20,280,280
I-4193,40,240,240
I-4194,20,240,280
I-4195,40,280,240
I-4196,20,280,240
I-4197,60,280,240
I-4198,40,280,300
I-4199,60,240,240
I-4200,20,240,360
I-4201,20,260,200
I-4202,50,260,300
I-4203,50,280,360
I-4204,20,280,240
I-4205,20,240,200
I-4206,60,280,300
I-4207,20,260,200
I-4208,40,240,240
I-4209,50,280,280
I-4210,40,280,360
I-4211,50,280,280
I-4212,40,260,240
I-4213,40,280,200
I-4214,60,240,200
I-4215,60,260,360
I-4216,20,240,200
I-4217,50,280,200
I-4218,40,240,240
I-4219,20,280,360
I-4220,20,260,300
I-4221,60,280,280
I-4222,40,240,280
I-4223,60,240,360
I-4224,40,260,280
I-4225,50,260,300
I-4226,60,240,300
I-4227,50,280,420
I-4228,40,240,300
I-4229,20,280,240
I-4230,50,260,420
I-4231,50,280,420
I-4232,20,260,280
I-4233,20,280,240
I-4234,20,280,280
I-4235,20,280,200
I-4236,50,260,240
I-4237,60,240,300
I-4238,50,280,280
I-4239,40,260,300
I-4240,60,280,300
I-4241,50,240,280
I-4242,50,280,420
I-4243,20,260,280
I-4244,60,240,200
I-4245,20,260,420
I-4246,60,280,240
I-4247,40,240,200
I-4248,20,280,240
I-4249,60,240,200
I-4250,20,280,280
I-4251,50,280,360
I-4252,50,260,420
I-4253,50,260,200
I-4254,60,260,420
I-4255,20,280,240
I-4256,50,260,200
I-4257,50,260,240
I-4258,20,240,240
I-4259,50,280,420
I-4260,50,280,360
I-4261,50,260,420
I-4262,40,280,360
I-4263,50,280,280
I-4264,60,240,280
I-4265,40,240,360
I-4266,20,240,300
I-4267,60,280,300
I-4268,60,240,300
I-4269,40,240,240
I-4270,50,260,200
I-4271,40,260,420
I-4272,20,240,420
I-4273,40,260,360
I-4274,60,280,280
I-4275,60,260,200
I-4276,50,260,240
I-4277,40,260,200
I-4278,60,280,240
I-4279,40,280,200
I-4280,40,240,360
I-4281,20,280,360
I-4282,60,280,420
I-4283,50,280,300
I-4284,20,240,360
I-4285,60,260,200
I-4286,50,260,300
I-4287,40,280,360
I-4288,60,240,360
I-4289,20,260,420
I-4290,20,260,300
I-4291,50,260,200
I-4292,20,260,360
I-4293,50,280,240
I-4294,40,240,200
I-4295,40,280,360
I-4296,60,280,200
I-4297,50,280,360
I-4298,60,260,420
I-4299,40,280,360
I-4300,20,260,200
I-4301,60,280,300
I-4302,50,280,280
I-4303,50,280,300
I-4304,60,260,240
I-4305,40,280,200
I-4306,60,260,240
I-4307,60,280,360
I-4308,40,240,300
I-4309,20,260,300
I-4310,40,260,200
I-4311,60,260,200
I-4312,40,240,360
I-4313,60,240,300
I-4314,40,260,240
I-4315,50,260,280
I-4316,20,280,200
I-4317,50,240,420
I-4318,40,240,360
I-4319,50,240,360
I-4320,40,240,360
I-4321,20,260,360
I-4322,60,280,300
I-4323,60,280,240
I-4324,60,240,280
I-4325,50,260,360
I-4326,40,240,420
I-4327,50,240,280
I-4328,40,240,420
I-4329,50,280,280
I-4330,60,280,360
I-4331,50,240,300
I-4332,60,260,280
I-4333,40,260,360
I-4334,50,240,300
I-4335,40,240,280
I-4336,40,240,200
I-4337,20,280,360
I-4338,50,260,240
I-4339,20,260,360
I-4340,40,280,300
I-4341,50,280,300
I-4342,20,260,420
I-4343,50,240,240
I-4344,60,240,200
I-4345,50,260,360
I-4346,50,280,360
I-4347,40,280,280
I-4348,20,240,280
I-4349,50,240,420
I-4350,50,280,200
I-4351,50,240,360
I-4352,40,260,280
I-4353,40,260,200
I-4354,20,240,280
I-4355,20,260,200
I-4356,40,280,240
I-4357,50,240,200
I-4358,60,260,240
I-4359,40,280,280
I-4360,40,260,200
I-4361,50,240,420
I-4362,50,260,420
I-4363,20,240,240
I-4364,50,260,420
I-4365,50,240,420
I-4366,40,260,300
I-4367,60,240,240
I-4368,60,260,200
I-4369,60,240,280
I-4370,20,240,280
I-4371,40,280,360
I-4372,50,240,200
I-4373,50,240,240
I-4374,60,280,420
I-4375,50,280,280
I-4376,20,280,200
I-4377,60,260,200
I-4378,40,280,280
I-4379,40,260,240
I-4380,50,260,360
I-4381,40,240,360
I-4382,50,240,420
I-4383,60,280,200
I-4384,20,260,300
I-4385,60,260,240
I-4386,40,260,300
I-4387,40,260,200
I-4388,20,280,420
I-4389,50,240,280
I-4390,50,280,240
I-4391,50,280,280
I-4392,50,260,240
I-4393,60,240,300
I-4394,40,280,280
I-4395,50,280,280
I-4396,60,280,420
I-4397,20,240,360
I-4398,20,240,300
I-4399,60,280,300
I-4400,40,260,360
I-4401,50,240,360
I-4402,50,240,420
I-4403,50,280,360
I-4404,40,240,200
I-4405,20,240,280
I-4406,60,240,240
I-4407,20,240,420
I-4408,60,240,420
I-4409,60,240,280
I-4410,50,280,200
I-4411,40,240,420
I-4412,40,260,300
I-4413,20,260,420
I-4414,20,260,420
I-4415,20,260,420
I-4416,60,240,300
I-4417,40,280,200
I-4418,40,280,300
I-4419,20,280,360
I-4420,60,260,200
I-4421,20,280,240
I-4422,60,240,240
I-4423,40,260,240
I-4424,20,260,240
I-4425,20,280,360
I-4426,60,280,200
I-4427,60,260,420
I-4428,20,240,200
I-4429,50,240,420
I-4430,40,280,240
I-4431,20,240,300
I-4432,60,280,360
I-4433,40,260,280
I-4434,60,280,420
I-4435,50,240,420
I-4436,40,260,200
I-4437,20,260,200
I-4438,40,240,300
I-4439,40,240,300
I-4440,40,280,240
I-4441,20,280,280
I-4442,40,280,300
I-4443,40,240,300
I-4444,20,240,240
I-4445,60,240,280
I-4446,50,260,200
I-4447,20,280,240
I-4448,60,280,300
I-4449,60,260,360
I-4450,50,260,280
I-4451,20,240,300
I-4452,40,240,300
I-4453,40,240,200
I-4454,40,260,240
I-4455,20,240,240
I-4456,20,260,280
I-4457,50,260,360
I-4458,20,260,360
I-4459,40,260,280
I-4460,60,240,280
I-4461,60,280,240
I-4462,40,280,360
I-4463,40,280,420
I-4464,20,260,420
I-4465,20,240,200
I-4466,50,280,300
I-4467,60,240,360
I-4468,40,240,360
I-4469,40,240,280
I-4470,40,280,420
I-4471,60,240,360
I-4472,40,240,420
I-4473,60,260,360
I-4474,40,260,280
I-4475,40,280,240
I-4476,50,240,360
I-4477,40,280,200
I-4478,40,260,420
I-4479,50,240,240
I-4480,60,280,300
I-4481,60,280,360
I-4482,50,240,420
I-4483,40,280,240
I-4484,50,240,280
I-4485,60,260,360
I-4486,50,240,300
I-4487,60,260,420
I-4488,60,280,300
I-4489,60,280,200
I-4490,50,260,420
I-4491,40,260,300
I-4492,60,260,280
I-4493,50,260,200
I-4494,40,280,300
I-4495,20,240,280
I-4496,40,260,200
I-4497,40,260,300
I-4498,60,240,200
I-4499,40,280,300
I-4500,50,280,360
I-4501,20,280,360
I-4502,60,240,240
I-4503,60,240,360
I-4504,60,280,200
I-4505,40,280,300
I-4506,40,240,360
I-4507,50,280,240
I-4508,60,260,240
I-4509,20,260,360
I-4510,20,280,360
I-4511,20,240,420
I-4512,50,280,420
I-4513,20,280,360
I-4514,50,280,300
I-4515,50,240,240
I-4516,20,280,280
I-4517,60,240,300
I-4518,40,280,300
I-4519,60,280,300
I-4520,40,280,360
I-4521,50,240,300
I-4522,20,280,240
I-4523,20,280,280
I-4524,60,240,200
I-4525,20,260,300
I-4526,60,280,200
I-4527,20,260,280
I-4528,20,280,200
I-4529,60,260,300
I-4530,40,260,240
I-4531,40,260,280
I-4532,50,240,300
I-4533,50,280,420
I-4534,40,280,200
I-4535,60,260,280
I-4536,60,240,200
I-4537,40,240,360
I-4538,40,280,360
I-4539,50,280,280
I-4540,50,240,240
I-4541,20,280,420
I-4542,20,260,240
I-4543,50,240,240
I-4544,50,280,280
I-4545,50,260,420
I-4546,50,240,420
I-4547,60,280,420
I-4548,20,280,200
I-4549,20,240,240
I-4550,60,240,280
I-4551,50,260,240
I-4552,20,240,280
I-4553,20,280,240
I-4554,60,240,200
I-4555,40,240,280
I-4556,60,280,200
I-4557,50,260,300
I-4558,40,240,300
I-4559,40,260,300
I-4560,60,240,280
I-4561,40,240,280
I-4562,50,260,300
I-4563,20,280,420
I-4564,50,280,420
I-4565,60,260,360
I-4566,60,240,200
I-4567,50,260,360
I-4568,60,280,240
I-4569,50,240,300
I-4570,20,280,240
I-4571,20,260,240
I-4572,60,260,240
I-4573,60,260,200
I-4574,50,280,240
I-4575,20,240,360
I-4576,20,260,240
I-4577,60,260,280
I-4578,50,260,300
I-4579,40,240,420
I-4580,60,260,280
I-4581,40,240,200
I-4582,60,260,240
I-4583,50,260,360
I-4584,20,280,280
I-4585,60,260,420
I-4586,50,260,360
I-4587,60,240,300
I-4588,50,240,300
I-4589,20,260,280
I-4590,40,240,420
I-4591,20,280,240
I-4592,60,280,240
I-4593,40,240,240
I-4594,20,260,420
I-4595,20,240,280
I-4596,20,240,300
I-4597,20,280,200
I-4598,20,260,300
I-4599,50,260,200
I-4600,50,260,280
I-4601,40,240,360
I-4602,50,240,420
I-4603,20,280,300
I-4604,60,260,200
I-4605,60,280,300
I-4606,40,280,360
I-4607,40,280,200
I-4608,20,280,280
I-4609,20,280,280
I-4610,40,280,360
I-4611,40,280,200
I-4612,40,260,280
I-4613,60,260,200
I-4614,60,260,200
I-4615,20,240,300
I-4616,20,280,280
I-4617,40,260,200
I-4618,40,260,240
I-4619,40,240,360
I-4620,50,240,280
I-4621,50,260,300
I-4622,60,280,200
I-4623,40,240,200
I-4624,20,240,200
I-4625,60,280,300
I-4626,40,280,360
I-4627,20,240,360
I-4628,50,280,300
I-4629,20,280,420
I-4630,40,260,280
I-4631,40,240,360
I-4632,60,280,240
I-4633,60,280,300
I-4634,20,240,420
I-4635,60,280,280
I-4636,40,260,240
I-4637,60,280,280
I-4638,50,260,420
I-4639,40,280,200
I-4640,20,240,420
I-4641,60,280,280
I-4642,40,240,360
I-4643,40,260,360
I-4644,50,260,420
I-4645,20,240,300
I-4646,50,260,420
I-4647,40,280,200
I-4648,40,280,420
I-4649,20,280,200
I-4650,20,240,360
I-4651,60,240,360
I-4652,20,260,200
I-4653,40,280,200
I-4654,60,280,240
I-4655,20,280,300
I-4656,20,240,300
I-4657,60,240,360
I-4658,20,240,200
I-4659,50,260,280
I-4660,40,260,200
I-4661,40,280,200
I-4662,60,260,360
I-4663,20,260,300
I-4664,50,240,300
I-4665,50,260,420
I-4666,40,240,360
I-4667,20,240,200
I-4668,50,280,420
I-4669,60,260,280
I-4670,60,260,240
I-4671,50,240,280
I-4672,50,240,280
I-4673,40,280,420
I-4674,20,240,300
I-4675,40,240,280
I-4676,40,280,420
I-4677,50,240,420
I-4678,60,240,240
I-4679,20,260,280
I-4680,50,260,280
I-4681,60,260,360
I-4682,40,240,280
I-4683,20,240,240
I-4684,60,260,360
I-4685,50,240,280
I-4686,60,260,420
I-4687,60,240,300
I-4688,60,240,300
I-4689,20,240,300
I-4690,60,240,200
I-4691,20,240,300
I-4692,50,240,360
I-4693,40,240,420
I-4694,20,280,420
I-4695,50,260,420
I-4696,40,280,240
I-4697,60,240,360
I-4698,50,280,240
I-4699,50,280,240
I-4700,50,240,360
I-4701,40,260,360
I-4702,50,260,240
I-4703,40,240,300
I-4704,60,280,300
I-4705,20,240,280
I-4706,40,260,280
I-4707,20,280,240
I-4708,50,260,300
I-4709,50,240,360
I-4710,50,280,240
I-4711,60,240,300
I-4712,40,260,420
I-4713,40,280,420
I-4714,20,240,280
I-4715,50,260,200
I-4716,20,260,200
I-4717,40,280,240
I-4718,50,280,300
I-4719,20,240,300
I-4720,60,240,200
I-4721,40,240,280
I-4722,60,240,360
I-4723,40,260,360
I-4724,40,240,420
I-4725,40,240,300
I-4726,20,280,420
I-4727,20,260,420
I-4728,40,260,280
I-4729,20,240,420
I-4730,60,260,300
I-4731,60,260,360
I-4732,60,280,420
I-4733,40,260,200
I-4734,40,260,280
I-4735,40,260,360
I-4736,60,260,200
I-4737,20,280,240
I-4738,60,260,300
I-4739,20,240,240
I-4740,20,260,420
I-4741,40,240,280
I-4742,50,280,300
I-4743,50,280,300
I-4744,20,280,280
I-4745,50,240,240
I-4746,60,240,240
I-4747,40,240,360
I-4748,50,280,360
I-4749,50,280,420
I-4750,40,260,280
I-4751,20,280,420
I-4752,60,280,360
I-4753,20,240,300
I-4754,40,240,420
I-4755,60,280,300
I-4756,40,240,360
I-4757,40,260,360
I-4758,20,260,420
I-4759,20,260,200
I-4760,40,280,360
I-4761,60,240,240
I-4762,50,260,360
I-4763,40,240,200
I-4764,20,240,280
I-4765,50,280,360
I-4766,50,280,240
I-4767,20,280,200
I-4768,20,260,280
I-4769,50,260,240
I-4770,50,280,280
I-4771,20,260,300
I-4772,50,280,300
I-4773,60,280,360
I-4774,40,240,420
I-4775,50,280,200
I-4776,40,240,280
I-4777,60,280,360
I-4778,60,280,420
I-4779,60,240,240
I-4780,60,260,300
I-4781,50,240,240
I-4782,50,240,360
I-4783,50,280,360
I-4784,50,280,280
I-4785,20,280,360
I-4786,20,240,420
I-4787,50,260,360
I-4788,40,240,240
I-4789,40,260,240
I-4790,20,240,280
I-4791,50,240,300
I-4792,40,280,240
I-4793,50,280,280
I-4794,60,280,240
I-4795,50,260,360
I-4796,60,260,300
I-4797,60,260,200
I-4798,20,280,280
I-4799,20,260,360
I-4800,60,280,200
I-4801,40,260,420
I-4802,50,240,300
I-4803,50,240,280
I-4804,20,260,280
I-4805,20,260,240
I-4806,50,260,300
I-4807,20,240,300
I-4808,40,240,200
I-4809,20,260,300
I-4810,50,280,360
I-4811,40,260,280
I-4812,20,260,360
I-4813,50,260,420
I-4814,40,260,280
I-4815,40,260,240
I-4816,60,260,280
I-4817,60,280,420
I-4818,40,260,200
I-4819,60,280,360
I-4820,20,240,420
I-4821,20,240,200
I-4822,60,280,300
I-4823,50,280,200
I-4824,40,240,300
I-4825,50,280,300
I-4826,60,280,300
I-4827,50,280,280
I-4828,60,240,420
I-4829,40,260,200
I-4830,40,240,200
I-4831,20,260,360
I-4832,40,240,420
I-4833,20,240,280
I-4834,50,280,420
I-4835,60,240,200
I-4836,50,280,240
I-4837,20,260,420
I-4838,40,280,240
I-4839,40,240,420
I-4840,20,260,240
I-4841,20,280,280
I-4842,60,280,300
I-4843,40,280,280
I-4844,50,240,200
I-4845,50,260,360
I-4846,40,240,280
I-4847,20,260,200
I-4848,60,260,240
I-4849,60,240,200
I-4850,20,280,300
I-4851,50,280,280
I-4852,20,240,240
I-4853,20,260,420
I-4854,40,260,280
I-4855,40,240,280
I-4856,50,280,200
I-4857,40,240,200
I-4858,20,240,200
I-4859,60,240,360
I-4860,60,260,360
I-4861,40,280,300
I-4862,40,280,300
I-4863,40,280,280
I-4864,50,260,280
I-4865,20,240,200
I-4866,50,260,280
I-4867,50,240,200
I-4868,60,240,420
I-4869,60,260,200
I-4870,20,240,360
I-4871,20,240,360
I-4872,40,280,280
I-4873,20,240,300
I-4874,50,240,300
I-4875,60,240,360
I-4876,20,240,360
I-4877,40,260,240
I-4878,20,260,300
I-4879,50,260,420
I-4880,60,240,420
I-4881,50,240,240
I-4882,60,260,240
I-4883,50,280,240
I-4884,60,260,300
I-4885,50,240,280
I-4886,20,240,420
I-4887,60,260,200
I-4888,20,280,200
I-4889,20,280,300
I-4890,20,260,360
I-4891,40,240,240
I-4892,20,280,280
I-4893,50,240,420
I-4894,60,260,240
I-4895,20,240,200
I-4896,50,280,200
I-4897,60,280,300
I-4898,40,280,360
I-4899,50,280,300
I-4900,50,280,240
I-4901,20,280,360
I-4902,50,240,240
I-4903,60,240,240
I-4904,60,280,420
I-4905,40,240,240
I-4906,40,280,240
I-4907,20,280,420
I-4908,60,260,420
I-4909,20,240,360
I-4910,60,280,280
I-4911,50,240,240
I-4912,60,240,200
I-4913,60,240,420
I-4914,50,280,360
I-4915,40,260,360
I-4916,50,280,360
I-4917,40,240,300
I-4918,20,240,360
I-4919,60,260,420
I-4920,20,240,240
I-4921,20,240,360
I-4922,40,240,200
I-4923,50,240,280
I-4924,40,240,360
I-4925,50,260,360
I-4926,50,260,420
I-4927,60,280,280
I-4928,40,240,240
I-4929,50,280,240
I-4930,40,260,300
I-4931,40,240,240
I-4932,40,260,360
I-4933,60,260,240
I-4934,60,280,200
I-4935,60,240,200
I-4936,60,260,240
I-4937,50,260,240
I-4938,20,280,420
I-4939,50,280,360
I-4940,60,260,200
I-4941,50,260,240
I-4942,20,240,420
I-4943,40,260,360
I-4944,50,240,240
I-4945,50,240,280
I-4946,60,280,280
I-4947,60,280,280
I-4948,40,260,420
I-4949,50,280,240
I-4950,50,240,200
I-4951,40,260,420
I-4952,20,260,200
I-4953,50,280,200
I-4954,40,280,240
I-4955,50,240,280
I-4956,40,280,280
I-4957,60,240,280
I-4958,60,240,300
I-4959,50,260,200
I-4960,50,240,200
I-4961,60,240,240
I-4962,50,240,360
I-4963,40,280,420
I-4964,20,280,420
I-4965,60,240,280
I-4966,40,280,420
I-4967,20,260,240
I-4968,40,260,280
I-4969,60,260,420
I-4970,60,260,300
I-4971,40,260,300
I-4972,40,240,240
I-4973,60,280,360
I-4974,20,280,200
I-4975,50,240,240
I-4976,20,240,200
I-4977,20,280,300
I-4978,50,240,300
I-4979,50,280,280
I-4980,50,260,200
I-4981,40,240,280
I-4982,40,260,280
I-4983,50,240,360
I-4984,40,280,420
I-4985,60,240,200
I-4986,50,240,280
I-4987,40,280,360
I-4988,50,280,200
I-4989,20,280,280
I-4990,20,260,200
I-4991,50,280,200
I-4992,20,260,200
I-4993,20,260,420
I-4994,40,280,360
I-4995,60,280,420
I-4996,40,240,360
I-4997,50,260,300
I-4998,60,240,240
I-4999,60,260,240
I-5000,60,240,360
I-5001,20,260,200
I-5002,40,280,200
I-5003,60,280,420
I-5004,20,260,200
I-5005,50,260,420
I-5006,20,240,300
I-5007,20,280,240
I-5008,20,280,240
I-5009,20,260,300
I-5010,50,260,280
I-5011,50,280,300
I-5012,60,240,300
I-5013,50,240,200
I-5014,20,240,300
I-5015,60,280,200
I-5016,60,240,240
I-5017,50,280,420
I-5018,20,260,300
I-5019,20,260,280
I-5020,20,260,300
I-5021,50,240,240
I-5022,40,240,200
I-5023,60,260,420
I-5024,20,280,300
I-5025,60,240,240
I-5026,40,240,200
I-5027,60,280,360
I-5028,50,260,300
I-5029,60,240,280
I-5030,40,280,240
I-5031,60,240,280
I-5032,50,280,300
I-5033,60,260,240
I-5034,40,260,420
I-5035,40,260,280
I-5036,60,240,240
I-5037,20,240,200
I-5038,20,260,420
I-5039,60,240,360
I-5040,40,260,240
I-5041,50,260,420
I-5042,20,260,200
I-5043,20,240,280
I-5044,60,260,420
I-5045,20,280,300
I-5046,20,280,280
I-5047,20,240,200
I-5048,50,240,420
I-5049,20,260,200
I-5050,20,260,300
I-5051,20,280,280
I-5052,50,260,280
I-5053,20,260,420
I-5054,60,260,200
I-5055,40,260,420
I-5056,50,240,280
I-5057,50,260,360
I-5058,20,280,240
I-5059,50,240,360
I-5060,50,280,240
I-5061,60,280,280
I-5062,50,240,200
I-5063,50,260,280
I-5064,50,280,300
I-5065,50,260,200
I-5066,20,280,280
I-5067,50,240,280
I-5068,40,240,420
I-5069,50,260,200
I-5070,40,260,280
I-5071,40,260,360
I-5072,50,240,360
I-5073,60,260,200
I-5074,20,240,360
I-5075,50,260,280
I-5076,50,240,280
I-5077,60,280,280
I-5078,20,260,300
I-5079,20,260,360
I-5080,40,240,360
I-5081,50,260,300
I-5082,20,260,240
I-5083,40,280,200
I-5084,60,260,280
I-5085,60,240,200
I-5086,50,280,200
I-5087,50,280,360
I-5088,60,280,300
I-5089,60,280,420
I-5090,20,280,420
I-5091,20,260,240
I-5092,40,240,280
I-5093,20,240,280
I-5094,40,260,240
I-5095,20,260,200
I-5096,60,260,240
I-5097,60,260,240
I-5098,50,240,360
I-5099,20,240,300
I-5100,40,260,420
I-5101,50,240,240
I-5102,60,240,240
I-5103,60,260,240
I-5104,50,260,360
I-5105,40,260,280
I-5106,50,240,300
I-5107,50,260,240
I-5108,20,280,360
I-5109,40,260,240
I-5110,40,260,280
I-5111,50,260,200
I-5112,50,280,300
I-5113,40,280,280
I-5114,50,260,200
I-5115,20,280,280
I-5116,40,260,200
I-5117,60,240,200
I-5118,20,240,420
I-5119,50,260,280
I-5120,50,240,240
I-5121,50,260,280
I-5122,40,280,360
I-5123,40,260,280
I-5124,50,240,240
I-5125,60,260,360
I-5126,40,260,300
I-5127,40,280,300
I-5128,20,260,300
I-5129,20,240,360
I-5130,50,260,420
I-5131,50,280,200
I-5132,60,240,200
I-5133,60,240,200
I-5134,20,240,420
I-5135,20,260,240
I-5136,50,280,200
I-5137,60,240,200
I-5138,50,260,200
I-5139,50,260,300
I-5140,60,260,280
I-5141,40,280,240
I-5142,50,280,300
I-5143,60,240,200
I-5144,40,240,240
I-5145,50,280,420
I-5146,50,260,360
I-5147,60,260,300
I-5148,50,240,420
I-5149,60,260,300
I-5150,50,260,280
I-5151,60,280,240
I-5152,60,240,360
I-5153,60,260,280
I-5154,50,280,200
I-5155,40,260,200
I-5156,40,280,300
I-5157,60,280,360
I-5158,40,240,280
I-5159,60,280,200
I-5160,40,260,420
I-5161,40,280,360
I-5162,50,240,280
I-5163,20,260,360
I-5164,60,240,420
I-5165,60,240,200
I-5166,40,280,280
I-5167,60,280,280
I-5168,60,260,200
